⺀⺀	丶 丶
𱄸	馬 禾 {黎右角} 人 ⺗
𱄹	馬 走 ⺊ 日 十
𱄺	馬 亻 人 人 人 人 田
𱄻	馬 㐅 凵 鳥
𱄼	马 廾
𱄽	马 丿 七
𱄾	马 广
𱄿	马 马
𱅀	匕 十 马
𱅁	马 口 丨
𱅂	马 及
𱅃	马 匚 コ
𱅄	马 𠂇 又 丶
𱅅	龙 马
𱅆	马 𠂇 口
𱅇	马 人 彡
𱅈	马 心 丿
𱅉	马 戈 𠂇
𱅊	扌 丸 马
𱅋	马 耳
𱅌	马 {北左} 匕 一
𱅍	马 戊 丶
𱅎	马 亻 犬
𱅏	马 儿 冫 {飞无折}
𱅐	马 六 乂
𱅑	丷 夫 马
𱅒	马 马 马
𱅓	马 十 冖 子
𱅔	马 束
𱅕	马 未 丷
𱅖	马 口 ⺝
𱅗	马 丿 扌 戈
𱅘	马 门 木
𱅙	马 丷 口 儿
𱅚	马 人 {舍下}
𱅛	马 丷 田 十
𱅜	马 覀 女
𱅝	户 𠕁 马
𱅞	马 尸 二 コ 又
𱅟	马 予 丿 木
𱅠	十 日 十 人 马
𱅡	马 鬼
𱅢	马 禾 {北左} 匕
𱅣	马 爫 臼
𱅤	马 宀 {丘无横} {其字底}
𱅥	马 冖 一 豕
𱅦	马 黄
𱅧	马 虍 业
𱅨	马 予 丿 夂 力
𱅩	马 羽 白
𱅪	马 覀 日 十
𱅫	马 予 丿 冂 八 口
𱅬	马 廿 口 {北左} 匕 灬
𱅭	骨 而
𱅮	骨 {晓右上} 一 儿
𱅯	骨 大 㐄
𱅰	骨 大 日 乚
𱅱	骨 {其字头} {其字底}
𱅲	骨 止 ⺝
𱅳	骨 一 {亞无横} 心
𱅴	高 丁
𱅵	高 几
𱅶	高 入
𱅷	高 ⺊ 一
𱅸	一 止 髙
𱅹	高 日 丨
𱅺	高 尸 又
𱅻	高 一 日 一
𱅼	高 大 土
𱅽	艹 句 攵 高
𱅾	高 ⺸ 一 日 一
𱅿	髟 力 口
𱆀	髟 门 日
𱆁	髟 门 月
𱆂	髟 日 生
𱆃	髟 虫 贝
𱆄	髟 弗 贝
𱆅	髟 〢 {临右上} 皿
𱆆	髟 艹 两
𱆇	髟 大 人 人 氺
𱆈	髟 𠂒 儿 𠂒 儿 贝
𱆉	鬥 宀 {眉框} 貝
𱆊	匕 {𠚍心} 凵 匕
𱆋	可 鬲
𱆌	鬲 𠂉 ㄋ 𰀪
𱆍	鬲 ⺈ 彐
𱆎	⺽ 鬲
𱆏	鬲 魚
𱆐	弓 土 厶 弓 鬲
𱆑	弓 一 大 一 大 弓 鬲
𱆒	弓 戊 一 口 弓 鬲
𱆓	⺷ 灬 羊 鬲
𱆔	弓 丿 夫 丿 夫 弓 鬲
𱆕	弓 ⺿ 罒 冖 戊 弓 鬲
𱆖	几 鬼
𱆗	鬼 丿 廾
𱆘	勹 𰀪 鬼
𱆙	鬼 {晓右上} 一 儿
𱆚	鬼 页
𱆛	{寿四} 寸 鬼
𱆜	冂 䒑 亡 鬼
𱆝	户 方 鬼
𱆞	鬼 {拜左} 一 丰
𱆟	鬼 {立无横} 可
𱆠	鬼 覀 示 寸
𱆡	宀 {眉框} 貝 鬼
𱆢	⻗ 口 {双口：吕吅} 大 王 鬼
𱆣	八 魚
𱆤	魚 一 {別字旁底}
𱆥	魚 ⺆ 亠
𱆦	巴 魚
𱆧	魚 ヿ 土
𱆨	魚 厶 几
𱆩	魚 口 一 ㄅ
𱆪	夕 ⺋ 魚
𱆫	又 寸 魚
𱆬	魚 {比左} 匕 十
𱆭	魚 戈 廾
𱆮	魚 艹 干
𱆯	魚 禾 乃
𱆰	魚 龟
𱆱	魚 火 干
𱆲	魚 彐 火
𱆳	魚 木 八 厶
𱆴	魚 木 木
𱆵	魚 丰 刀 廾
𱆶	魚 日 八 女
𱆷	魚 亻 彐 冖 又
𱆸	魚 亡 勹 方
𱆹	魚 米 女
𱆺	魚 ⺷ 灬
𱆻	魚 穴 日 乚
𱆼	魚 乛 水 一 灬
𱆽	魚 貝 戈
𱆾	魚 罒 米
𱆿	魚 页 戈
𱇀	魚 大 人 人 氺
𱇁	魚 日 一 里
𱇂	魚 衣 八 井 一
𱇃	魚 面 且
𱇄	魚 田 田 田
𱇅	魚 黑 土
𱇆	魚 舟 殳 皿
𱇇	魚 麻 手
𱇈	魚 立 ⺝ {龍右}
𱇉	魚 ⻗ 口 {双口：吕吅}
𱇊	魚 豕 虫 虫
𱇋	魚 言 糹 糹 弓
𱇌	魚 艹 丿 㠯 辛 木
𱇍	鱼 乚
𱇎	鱼 卜
𱇏	鱼 丿 七
𱇐	鱼 二 儿
𱇑	鱼 一 巾
𱇒	鱼 {比左} 匕
𱇓	鱼 一 彑
𱇔	鱼 冂 人
𱇕	鱼 攵
𱇖	鱼 ⺁ 又
𱇗	鱼 仑
𱇘	鱼 亠 几
𱇙	鱼 冖 儿
𱇚	鱼 一 木
𱇛	鱼 未
𱇜	鱼 土 厶
𱇝	鱼 不 一
𱇞	鱼 日 一
𱇟	鱼 甲
𱇠	鱼 囗 人
𱇡	鱼 生
𱇢	鱼 亠 幺
𱇣	鱼 {发二} 又 丶
𱇤	鱼 幺 力
𱇥	鱼 一 日 一
𱇦	鱼 大 二 ㄅ
𱇧	鱼 大 弓
𱇨	鱼 ⺊ 一 小
𱇩	鱼 丿 大 {乔字底}
𱇪	鱼 各
𱇫	女 口 鱼
𱇬	鱼 臣
𱇭	鱼 未 丷
𱇮	鱼 艹 亡
𱇯	鱼 ⺌ ⺝
𱇰	鱼 口 巴
𱇱	亻 丨 夂 鱼
𱇲	鱼 爫 子
𱇳	鱼 厶 八 夂
𱇴	鱼 纟 冂 人
𱇵	鱼 龶 贝
𱇶	鱼 土 八 土
𱇷	鱼 龷 日
𱇸	鱼 黾
𱇹	牛 巾 刂 鱼
𱇺	鱼 禾 子
𱇻	鱼 ⺈ 臼
𱇼	鱼 夂 卜 口
𱇽	鱼 勹 米
𱇾	鱼 宀 示
𱇿	鱼 肀 {乔字底} 八
𱈀	鱼 尸 古
𱈁	鱼 丿 止 廴
𱈂	鱼 田 ⽱
𱈃	鱼 田 ⺝
𱈄	鱼 亻 {候右角} 矢
𱈅	鱼 㐅 凵 八 夂
𱈆	鱼 米 女
𱈇	鱼 忄 一 月 一
𱈈	鱼 忄 一 日 一
𱈉	鱼 虍 文
𱈊	鱼 卯 田
𱈋	鱼 高
𱈌	鱼 ⺶ ヿ 土
𱈍	鱼 弓 冫 弓 冫
𱈎	鱼 又 又 又 木
𱈏	鱼 豕 辶
𱈐	鱼 一 日 {虫无口} 寸
𱈑	{微框、微框无一} 鱼
𱈒	鱼 {其字头} {其字底} 斤
𱈓	鱼 覀 日 十
𱈔	鱼 旡 旡 曰
𱈕	鱼 丿 米 田
𱈖	鱼 束 ⺈ 贝
𱈗	鱼 ⻗ 而
𱈘	鱼 {党无儿} 匕 日
𱈙	鱼 艹 罒 戊 丶
𱈚	鱼 王 {双口：吕吅} {双口：吕吅}
𱈛	鱼 艹 罒 冖 目
𱈜	鱼 鱼 鱼
𱈝	鳥 一 ㄅ
𱈞	斤 鳥
𱈟	尸 丶 鳥
𱈠	口 丩 鳥
𱈡	⺊ 一 卜 鳥
𱈢	{凹无一} 一 鳥
𱈣	鳥 日 一
𱈤	氵 又 鳥
𱈥	厶 口 鳥
𱈦	曲 鳥
𱈧	亠 氏 鳥
𱈨	鳥 戊 𠃌
𱈩	耂 子 鳥
𱈪	鳥 日 女
𱈫	鳥 日 干
𱈬	亠 丷 子 鳥
𱈭	龶 𧘇 鳥
𱈮	木 木 鳥
𱈯	日 ⺝ 鳥
𱈰	鳥 夂 卜 口
𱈱	言 十 鳥
𱈲	米 女 鳥
𱈳	穴 丿 大 鳥
𱈴	木 艮 鳥
𱈵	覀 心 鳥
𱈶	甲 鳥 心 丿
𱈷	臼 丨 又 鳥
𱈸	⺮ 一 廾 鳥
𱈹	羽 人 小 鳥
𱈺	大 人 人 氺 鳥
𱈻	夫 夫 曰 鳥
𱈼	士 冖 一 夕 卪 鳥
𱈽	{双口：吕吅} 䒑 {㪿三} 鳥
𱈾	木 日 一 勹 𰀪 鳥
𱈿	士 冖 王 殳 鳥
𱉀	⺿ 罒 心 鳥
𱉁	鳥 止 戊 一 {步下}
𱉂	宀 工 皿 丁 鳥
𱉃	山 黒 鳥
𱉄	卯 金 刂 鳥
𱉅	{其字头} {其字底} 隹 鳥
𱉆	鳥 日 屮 凵 八 氺
𱉇	鸟 乙
𱉈	刀 鸟
𱉉	了 鸟
𱉊	干 鸟
𱉋	鸟 干
𱉌	鸟 丶 乂
𱉍	王 鸟
𱉎	夫 鸟
𱉏	二 乛 丶 鸟
𱉐	贝 鸟
𱉑	八 刀 鸟
𱉒	月 鸟
𱉓	户 鸟
𱉔	{候右角} 人 鸟
𱉕	鸟 可
𱉖	不 一 鸟
𱉗	日 一 鸟
𱉘	且 鸟
𱉙	鸟 口 八
𱉚	丿 夫 鸟
𱉛	矢 鸟
𱉜	亻 寸 鸟
𱉝	白 匕 鸟
𱉞	母 鸟
𱉟	又 {举字底} 鸟
𱉠	ス 工 鸟
𱉡	厶 廾 鸟
𱉢	幺 力 鸟
𱉣	鸟 戈 𠂇
𱉤	土 土 鸟
𱉥	士 口 鸟
𱉦	老 鸟
𱉧	十 戈 鸟
𱉨	一 业 鸟
𱉩	大 弓 鸟
𱉪	艹 乂 鸟
𱉫	丿 未 鸟
𱉬	丿 大 {乔字底} 鸟
𱉭	⺈ 厂 ⺋ 鸟
𱉮	各 鸟
𱉯	羊 鸟
𱉰	ツ {其字底} 鸟
𱉱	冖 车 鸟
𱉲	厶 牛 鸟
𱉳	乛 丶 丶 大 鸟
𱉴	木 ㄋ 𰀪 鸟
𱉵	未 丷 鸟
𱉶	日 干 鸟
𱉷	彳 殳 鸟
𱉸	鸟 人 禾
𱉹	㐅 𠂇 巾 鸟
𱉺	爫 子 鸟
𱉻	爫 女 鸟
𱉼	{即左} 卩 鸟
𱉽	己 心 鸟
𱉾	厶 八 夂 鸟
𱉿	鸟 厶 八 夂
𱊀	土 八 土 鸟
𱊁	大 可 鸟
𱊂	日 月 鸟
𱊃	禾 {黎右角} 鸟
𱊄	鸟 臼 儿
𱊅	鸟 隹
𱊆	兔 鸟
𱊇	勹 米 鸟
𱊈	臼 儿 鸟
𱊉	⺍ 冖 子 鸟
𱊊	穴 工 鸟
𱊋	户 ⺝ 鸟
𱊌	尸 古 鸟
𱊍	又 又 又 又 鸟
𱊎	巛 田 鸟
𱊏	一 口 田 鸟
𱊐	{比左} 匕 白 鸟
𱊑	⺁ 十 目 鸟
𱊒	爫 一 𠂇 又 鸟
𱊓	月 丶 水 鸟
𱊔	𠂉 日 夂 鸟
𱊕	{立无横} 冖 巾 鸟
𱊖	穴 犬 鸟
𱊗	予 丿 木 鸟
𱊘	彑 {豕无横} 鸟
𱊙	扌 辰 鸟
𱊚	十 目 {其字底} 鸟
𱊛	隹 十 鸟
𱊜	鸟 鸟 鸟
𱊝	广 肀 口 鸟
𱊞	氵 束 鸟
𱊟	宀 丰 口 鸟
𱊠	艹 人 禾 鸟
𱊡	口 隹 鸟
𱊢	⺮ 立 鸟
𱊣	亽 ヿ 酉 鸟
𱊤	广 肀 用 鸟
𱊥	{立无横} 冂 八 口 鸟
𱊦	士 冖 豆 鸟
𱊧	厂 䒑 {㪿三} 欠 鸟
𱊨	鸟 氵 匚 コ 木
𱊩	尸 耂 日 鸟
𱊪	⻗ 亽 龴 鸟
𱊫	虍 口 一 大 鸟
𱊬	罒 勹 虫 鸟
𱊭	{臼裂} 一 ㄅ 丨 {其字底} 鸟
𱊮	{赢框} 鸟
𱊯	白 方 攵 鸟
𱊰	音 心 鸟
𱊱	羽 隹 鸟
𱊲	日 龷 八 氺 鸟
𱊳	田 田 田 鸟
𱊴	廿 口 {北左} 匕 灬 鸟
𱊵	龠 鸟
𱊶	⺊ 𱕻 人 十
𱊷	⺊ 𱕻 宀 丁
𱊸	⺊ 𱕻 八 亽 ヿ
𱊹	⺊ 𱕻 ⺈ 丨 日
𱊺	⺊ 龱 土
𱊻	⺊ 龱 豆
𱊼	⺊ 龱 曰 耳 又
𱊽	⺊ 龱 衣 罒 水
𱊾	鹿 且 又
𱊿	鹿 厶 小 又
𱋀	鹿 未 丷 辶
𱋁	鹿 鹿
𱋂	鹿 弓 一 {䕥下}
𱋃	⿆ 龷 日
𱋄	龶 夂 一 ㄅ
𱋅	龶 夂 匕
𱋆	龶 夂 山
𱋇	龶 夂 𠂉 乙
𱋈	龶 夂 广
𱋉	龶 夂 手
𱋊	龶 夂 一 木
𱋋	龶 夂 土 厶
𱋌	龶 夂 禾
𱋍	龶 夂 丶 王
𱋎	龶 夂 穴
𱋏	龶 夂 丷 口
𱋐	龶 夂 曲
𱋑	龶 夂 丿 大 {乔字底}
𱋒	龶 夂 自
𱋓	龶 夂 各
𱋔	龶 夂 䒑 廾
𱋕	龶 夂 米
𱋖	龶 夂 甫
𱋗	龶 夂 爫 子
𱋘	龶 夂 氵 小 丿
𱋙	龶 夂 田 木
𱋚	龶 夂 夂 田
𱋛	龶 夂 禾 子
𱋜	龶 夂 隹
𱋝	龶 夂 立 口
𱋞	士 冖 龶 夂 殳
𱋟	龶 夂 古 月
𱋠	龶 夂 亼 ⺝ 刂
𱋡	龶 夂 米 女
𱋢	龶 夂 丷 酉
𱋣	龶 夂 予 丿 木
𱋤	龶 夂 予 丿 攵
𱋥	予 丿 攵 龶 夂
𱋦	龶 夂 亻 夂 田
𱋧	龶 夂 䒑 耂 工
𱋨	龶 夂 艹 氵 小 丿
𱋩	龶 夂 千 人 人 人 人
𱋪	龶 夂 {立无横} 冂 古
𱋫	龶 夂 黄
𱋬	龶 夂 米 夕 㐄
𱋭	龶 夂 未 丷 未 丷
𱋮	龶 夂 艹 冖 一 豕
𱋯	麻 𠂒 口
𱋰	麻 木 人 人
𱋱	麻 十 艹 贝
𱋲	黄 生
𱋳	黃 {弃字头} {荒字底}
𱋴	黄 丷 田 十
𱋵	禾 人 氺 勹 丿 人 小
𱋶	黑 ⺊ 尸
𱋷	黑 戈 幺
𱋸	黑 夂 丰
𱋹	黑 ⺈ 田 日
𱋺	黑 ⺮ 土 寸
𱋻	土 厶 龟
𱋼	勹 田 黽
𱋽	龟 勹 田
𱋾	土 儿 黾
𱋿	土 厶 黾
𱌀	冂 大 黾
𱌁	句 黾
𱌂	黾 夂 ゛
𱌃	土 土 黾
𱌄	矢 口 黾
𱌅	臼 儿 黾
𱌆	冖 日 六 黾
𱌇	㡀 攵 黾
𱌈	麻 黾
𱌉	辟 黾
𱌊	壴 支 长
𱌋	壴 支 可
𱌌	壴 屮 又 丬 䒑 大 刂
𱌍	鼠 夕
𱌎	鼠 亥
𱌏	鼠 冖 车
𱌐	鼠 䒑 {尹三} 〢 灬
𱌑	自 田 丌 卜
𱌒	自 田 丌 入
𱌓	自 田 丌 斤
𱌔	自 田 丌 生
𱌕	自 田 丌 夫 丷
𱌖	自 田 丌 冖 𧘇
𱌗	齐 火
𱌘	齐 皿
𱌙	齐 衣
𱌚	齒 犬
𱌛	齒 攵
𱌜	齒 八 刀
𱌝	齒 亻 也
𱌞	齒 厶 小 又
𱌟	土 土 寸 齒
𱌠	未 丷 力 齒
𱌡	齒 {立无横} 可
𱌢	齒 宀 ⺌ ⺝
𱌣	齒 宀 耳 ㄑ
𱌤	齒 夂 丰 辶
𱌥	木 人 人 攵 齒
𱌦	豸 艮 齒
𱌧	齒 面 且
𱌨	齒 耳 幺 幺 灬
𱌩	齿 工
𱌪	齿 文
𱌫	齿 口 八
𱌬	齿 乍
𱌭	齿 ⺈ 彐
𱌮	齿 句
𱌯	齿 厶 口
𱌰	齿 {晓右上} 一 儿
𱌱	齿 曰 ㇂ 丿
𱌲	丷 夫 齿
𱌳	齿 冖 车
𱌴	齿 未 丷
𱌵	齿 亼 ⺍ 一
𱌶	齿 耳 又
𱌷	齿 厂 土 土
𱌸	牛 巾 刂 齿
𱌹	齿 田 ⽱
𱌺	齿 十 目 {其字底}
𱌻	齿 土 厶 皿
𱌼	齿 ⺶ 工
𱌽	齿 {益字头} 皿
𱌾	立 ⺝ {龍右} 一 冂 人
𱌿	一 廾 立 ⺝ {龍右}
𱍀	土 亼 口 立 ⺝ {龍右}
𱍁	龙 廾
𱍂	龙 龙
𱍃	大 龟
𱍄	冂 二 龟
𱍅	龟 勹 厶
𱍆	龟 灬
𱍇	夂 ゛ 龟
𱍈	㡀 攵 龟
𱍉	龠 龟
𱍊	龠 日 曰
𱍐	示
𱍑	土 厶 一
𱍒	丁 冂 大
𱍓	𠂇 手 ㇗
𱍔	一 卜 龙
𱍕	不 人 人
𱍖	丷 三 一 卜
𱍗	一 氵 丷 又
𱍘	丿 土 厶 勹 𰀪
𱍙	尚 丁
𱍚	不 夕 夕
𱍛	不 亼 口
𱍜	谷 一 卜
𱍝	宀 二 儿 一 卜
𱍞	业 冫 欠
𱍟	与 亽 ヿ 心
𱍠	口 {双口：吕吅} 一 卜
𱍡	不 门 亠 巾
𱍢	石 夕 夕 丁
𱍣	犭 王 丿 土 厶
𱍤	不 日 疋
𱍥	廿 口 {北左} 匕 一
𱍦	廿 ㇗ {立无横} 冖 方
𱍧	彐 工 口 寸 一 卜
𱍨	廿 口 夫 不 一
𱍩	⺊ 一 ⻗ 而
𱍪	一 {丽右角} {丽右角} {鹿字框} 戶 一 𠃌 殳
𱍫	丨 ㇎ 一
𱍬	リ {候右角} 人
𱍭	リ 艮
𱍮	リ {弃字头} 儿
𱍯	リ 冂 一 口
𱍰	リ 一 业
𱍱	リ 冂 䒑 山
𱍲	リ 白 巾
𱍳	リ 龷 日
𱍴	リ ⺷ 女
𱍵	リ 䒑 {尹三} {变字头无亠}
𱍶	リ 鹿 灬
𱍷	{刀中} 又
𱍸	{齊字腰最右}
𱍹	乃 丶
𱍺	𠂉 廾
𱍻	之 二
𱍼	人 丨 乌
𱍽	而 之
𱍾	又 隹 ⺈ ㇏
𱍿	{婁字头} 口 丨 女 ⺈ ㇏
𱎀	⺄ 彐
𱎁	㇗ 不
𱎂	九 六
𱎃	⺄ 氵 乃
𱎄	乙 ⺌ 彐
𱎅	乙 各
𱎆	乙 ⺈ 用
𱎇	⺄ 非
𱎈	⺄ 木 目
𱎉	⺄ 耳 阝
𱎊	禾 火 乙
𱎋	⺄ 丶 {即左} 阝
𱎌	⺄ 束 辶
𱎍	⺄ 氵 爫 丿 士
𱎎	氵 艹 力 口 乙
𱎏	㡀 攵 也
𱎐	言 曰 勹 亾 乙
𱎑	一 口 {事字底} 彳 殳
𱎒	王 冂 二
𱎓	二 乂 乂 攵
𱎔	厶 口 弋 二
𱎕	二 土 隹
𱎖	五 十 冂 {南心}
𱎗	丶 丿 ヿ ヿ ヿ 灬 弋 二
𱎘	{云变} 廿 丨 一
𱎙	{亮头} 几 光
𱎚	人 𰀪
𱎛	人 土
𱎜	亼 卜
𱎝	亻 亡
𱎞	亻 卩 一
𱎟	亻 ㄋ 𰀪
𱎠	井 人
𱎡	亻 贝
𱎢	亻 ⺊ 了
𱎣	人 人 人
𱎤	亻 ⺇ 二
𱎥	人 斤
𱎦	亻 丨 一 一 丨
𱎧	亻 子 乚
𱎨	亻 人 工
𱎩	亻 𠂉 廾
𱎪	亻 又 {举字底}
𱎫	亻 一 业
𱎬	亻 缶
𱎭	亻 女 子
𱎮	亻 二 日 丨
𱎯	亻 口 贝
𱎰	亻 日 土
𱎱	亻 亡 心
𱎲	人 ⺋ 皮
𱎳	亻 止 ⺝
𱎴	亻 冂 䒑 亡
𱎵	亻 日 丿 士
𱎶	亻 山 {东二} 小
𱎷	止 匕 人 人
𱎸	亻 {卬左} 卩 辶
𱎹	亻 ⺷ 又
𱎺	亻 子 皿
𱎻	人 禾 予
𱎼	亻 革
𱎽	亻 白 水
𱎾	亻 丷 夫 马
𱎿	亻 一 业 日
𱏀	亻 一 业 心
𱏁	亻 艹 人 云
𱏂	亻 ⺶ ㇏ {乔字底}
𱏃	亻 丶 {即左} 月
𱏄	亻 冖 大 可
𱏅	亻 士 口 鸟
𱏆	亻 贝 贝 女
𱏇	亻 口 木 乂 乂
𱏈	亻 ⺮ 木 一
𱏉	人 人 且 七 刀
𱏊	亻 {立无横} 厂 生
𱏋	亻 广 大 日 乚
𱏌	亻 廿 勹 虫
𱏍	亻 髟 几
𱏎	十 冖 子 亻 弗
𱏏	里 人 禾
𱏐	亻 {党无儿} 贝
𱏑	亻 止 匕 糸
𱏒	亻 金 欠
𱏓	亻 门 木 囗 丷
𱏔	亻 束 ⺈ 贝
𱏕	亻 {鳥省} 衣
𱏖	亻 臼 田 力
𱏗	人 {倉中} 口 皮
𱏘	亻 口 木 車
𱏙	亻 口 木 丿 糸
𱏚	亻 夕 㐄 木 心
𱏛	亻 口 木 〢 又 贝
𱏜	亻 龜
𱏝	亻 氏 木 木 木
𱏞	亻 止 丿 㠯 貝
𱏟	亻 口 木 〢 又 貝
𱏠	亻 业 ⺶ ㇏ 臣
𱏡	亻 牜 士 罒 貝
𱏢	亻 人 人 戈 非 一 心
𱏣	亻 言 糹 糹 虫
𱏤	不 光
𱏥	广 氏 丶 儿
𱏦	光 立
𱏧	白 冫 {飞无折} 儿
𱏨	亠 {亦字底} 口 儿
𱏩	光 亻 {华右角} 十
𱏪	{其字头} {其字底} 㐅 凵 儿
𱏫	白 {北左} 匕 冖 几
𱏬	立 ⺝ 口 儿
𱏭	日 一 勹 𰀪 光
𱏮	光 丶 {即左} 月
𱏯	田 各 𠂒 儿
𱏰	光 ⻗ 田
𱏱	入 门
𱏲	入 口 巴
𱏳	六 卜
𱏴	䒑 龷 八
𱏵	冂 一 口 冫 {飞无折} {其字底}
𱏶	目 {其字底} 古
𱏷	艹 {其字底} 艹 {其字底} 龷 八
𱏸	八 厶 立 山 而
𱏹	用
𱏺	冂 龷
𱏻	冂 厶 又
𱏼	戊 一 口 冂 土
𱏽	冖 二 儿 殳
𱏾	冖 木 木 日
𱏿	冫 口
𱐀	冫 贝
𱐁	冫 ⺊ 了
𱐂	冫 夕 卜
𱐃	冫 儿 冫 {飞无折}
𱐄	冫 口 贝
𱐅	冫 貝
𱐆	冫 𠂒 口
𱐇	冫 頁
𱐈	冫 一 大 虫
𱐉	冫 丷 夫 手
𱐊	冫 竜
𱐋	冫 一 止 一 ㄅ 灬
𱐌	冫 壴 口
𱐍	凵 米
𱐎	凵 口 冂 人
𱐏	人 干 丷 凵
𱐐	{凹无一} 一 口 力 刂
𱐑	屮 凵 尸 屮 凵
𱐒	一 ⺊ ㄅ 刂
𱐓	刀 八 刀
𱐔	刀 丶 刀 丶
𱐕	刀 刀 刀
𱐖	刀 日 一
𱐗	刀 乍
𱐘	二 人 人 刂
𱐙	{立无横} 厂 刂
𱐚	由 一 ㄅ 刂
𱐛	爫 女 刂
𱐜	车 辶 刂
𱐝	厂 䒑 {㪿三} 刂
𱐞	⺊ {即左} 刀
𱐟	亠 人 人 十 刂
𱐠	厶 大 彡 刂
𱐡	⺶ 工 刀
𱐢	{祭字头} 示 刂
𱐣	⺈ 非 一 刂
𱐤	龷 艹 {举字底} 刂
𱐥	木 人 人 厂 乂 乂 刂
𱐦	麻 石 刂
𱐧	僉 刂 ⺊ 口
𱐨	䒑 ⺝ 刂 田 各
𱐩	𠂉 力
𱐪	门 力
𱐫	力 石
𱐬	廿 ㇗ 力
𱐭	廿 ㇗ 力
𱐮	用 力
𱐯	力 宀 匕
𱐰	力 古 儿
𱐱	十 目 一 力
𱐲	⺈ {争字底} 力
𱐳	宀 日 丨 力
𱐴	力 口 𠂇 ⺝
𱐵	十 ⺿ 田 厶 力
𱐶	力 罒 木 木
𱐷	戊 予 丿 夂 力
𱐸	勹 巳 亻 卜
𱐹	勹 𰀪 人 云
𱐺	勹 𰀪 土 不
𱐻	勹 巳 丿 用
𱐼	勹 𰀪 田 一 {畏下无横}
𱐽	一 曲 曰 勹 丶
𱐾	馬 勹 𰀪
𱐿	勹 𰀪 爫 冖 𠂇 又
𱑀	勹 𰀪 二 儿 页
𱑁	勹 千 黑
𱑂	勹 𰀪 二 儿 頁
𱑃	勹 巳 亼 囗 ⺌ 曰
𱑄	匕 巛 山
𱑅	{眞字头} 矢 人 禾
𱑆	匚 王 冂 大
𱑇	匚 王 光
𱑈	罒 耂 日 匚 斤
𱑉	匚 音 十 夂 工 贝
𱑊	匚 冫 亽 龴
𱑋	匚 氵 亽 ヿ 口
𱑌	匚 艹 𠂇 口 心
𱑍	匚 {双口：吕吅} 口 土 {双口：吕吅} 囗 口
𱑎	亠 {亦字底} 十
𱑏	〢 丿 十 {其字底} {举字底}
𱑐	豕 辶 亻 十
𱑑	己 攵 十 乛 丶 丶 大
𱑒	𠂉 十 犭 耂 日
𱑓	古 田 艹 {举字底}
𱑔	辟 𠂉 十
𱑕	艹 田 ⽱ 十 辶
𱑖	⺊ 冖 㠯
𱑗	口 貝 卜
𱑘	弋 卩
𱑙	卩 曰 勹 亾
𱑚	卵 弗
𱑛	爿 士 卵
𱑜	厂 支
𱑝	厂 西
𱑞	厂 卅 冖 巾
𱑟	厂 木 日 一
𱑠	厂 口 自
𱑡	厂 白 小 ⺈ 厂 ⺋
𱑢	厶 乙
𱑣	土 厶 丷 丨
𱑤	土 厶 止
𱑥	贝 土 厶
𱑦	土 厶 曰 ㇂ 丿
𱑧	厶 氵 各
𱑨	厶 土 厶 矢
𱑩	土 厶 口 欠
𱑪	土 厶 文 寸
𱑫	土 厶 宀 各
𱑬	土 厶 禾 夕 夕
𱑭	土 厶 彐 工 口 寸
𱑮	衤 甫 土 厶
𱑯	厶 厶 厶 人 彡 兎
𱑰	土 厶 土 {双口：吕吅} 囗 口
𱑱	又 工
𱑲	且 又
𱑳	又 丶 王
𱑴	丿 㠯 又
𱑵	又 彐 口
𱑶	又 又 及
𱑷	人 禾 又
𱑸	尚 又
𱑹	氏 氏 又
𱑺	火 火 又
𱑻	⺁ 又 口 丿 口
𱑼	{刀中} 亠 㐅 凵 冖 又
𱑽	自 罒 又
𱑾	龸 氵 {双口：吕吅} 隹 又
𱑿	口 𠃌 乚
𱒀	口 一 {別字旁底}
𱒁	口 廾
𱒂	口 ㄋ 𰀪
𱒃	口 小
𱒄	口 巳
𱒅	口 屮
𱒆	口 一 大
𱒇	口 ⺊ 了
𱒈	口 曰
𱒉	口 山 乙
𱒊	口 亻 二
𱒋	乂 乂 口
𱒌	口 {卬左} 卩
𱒍	㐅 古
𱒎	口 又 又
𱒏	匚 コ 口
𱒐	口 戊
𱒑	一 冂 人 口
𱒒	口 目
𱒓	口 氵 丁
𱒔	口 厂 土 丶
𱒕	不 口 又
𱒖	口 木 卜
𱒗	口 工 几 丶
𱒘	口 王 丁
𱒙	口 大 干
𱒚	口 一 口 {丈无一}
𱒛	{双口：吕吅} 亡
𱒜	口 小 大
𱒝	口 夂 力
𱒞	口 㐅 木
𱒟	口 亻 {卬左} 卩
𱒠	口 月 力
𱒡	口 䒑 巾
𱒢	亠 {亦字底} 口
𱒣	口 文 力
𱒤	口 巛 夕
𱒥	口 女 口
𱒦	口 {寿四} 寸
𱒧	口 扌 卩 又
𱒨	口 匚 矢
𱒩	口 木 彡
𱒪	口 大 㐄
𱒫	口 扌 {候右角} 人
𱒬	口 扌 人 ゛
𱒭	一 业 口 亅
𱒮	一 木 厶 口
𱒯	口 ⺊ 囗 コ
𱒰	口 艹 寸
𱒱	人 禾 口
𱒲	口 亻 囗 コ
𱒳	口 犭 王
𱒴	口 亻 古
𱒵	口 彳 殳
𱒶	口 门 心
𱒷	亠 土 口 匕
𱒸	口 门 牙
𱒹	口 氵 及
𱒺	口 氵 止
